,lista_instituicoes
0,universidade federal rural de pernambuco
1,universidade estadual do sudoeste da bahia
2,universidade federal de santa catarina
3,universidade estadual da bahia
4,escola politecnica
5,hurb.com
6,universidade federal de minas gerais
7,universidade estadual de campinas
8,lncc
9,universidade federal de santa maria
10,universidade catolica de pelotas
11,ufopa
12,universidade federal do rio de janeiro
13,universidade federal de ouro preto
14,universidad nacional del centro de la provincia de buenos aires
15,universidade federal de pernambuco
16,universidade federal do maranhao
17,universidade estadual de feira de santana
18,universidade federal de alagoas
19,universidade de brasilia
20,instituto federal do triangulo mineiro
21,senai cimatec
22,universidade federal do abc
23,cpfl energia
24,universidade federal de campina grande
25,universidade federal do piaui
26,ufu
27,universidad de la republica
28,cpqd
29,uva
30,faculdade de tecnologia de sao paulo
31,uninassau
32,instituto federal da bahia
33,inria
34,fiocruz
35,california state university
36,cefet-mg
37,unirio
38,universidade federal rural do rio de janeiro
39,universidade federal fluminense
40,lightbase consultoria em software publico
41,universidade federal do tocantins
42,universidad nacional de cuyo
43,ufa
44,ifmg
45,aeb
46,florida institute of technology
47,sophina antipolis
48,cwru
49,utfpr
50,centro universitario estacio da bahia
51,"instituto federal de educacao, ciencia e tecnologia de sao paulo"
52,cefet-rj
53,puc minas
54,universidade federal de sao paulo
55,pontifical catholic university of rio de janeiro
56,instituto federal do para
57,universidade do estado da bahia
58,ifg
59,instituto federal da paraiba
60,universidade federal da bahia
61,ifnmg
62,universidade fumec
63,ucla
64,instituto tecnologico de aeronautica
65,instituto nacional de pesquisas espaciais
66,universidade de sao paulo
67,unifor
68,unibh
69,faculdade salesiana maria auxiliadora
70,universidade federal de juiz de fora
71,oswaldo cruz foundation
72,ibge
73,ufpr
74,uema
75,universidade federal rural da amazonia
76,elabora consultoria e participacao
77,universidade federal do para
78,universidad del aconcagua
79,ufam
80,inesc tec
81,ufsj
82,ufla
83,universidade federal do rio grande do sul
84,instituto federal do maranhao
85,tamkang university
86,universidade federal da paraiba
87,uea
88,pla university of industry and technology
89,uemg
90,ufvjm
91,heidelberg university
92,ibm research
93,universidade estadual de ciencias da saude de alagoas
94,toulouse business school
95,universidade federal de vicosa
